Designator,Quantity,Description,Manufacturer,Manufacturer Part Number,Supplier,Supplier Part Number

"C1","1","CAP CER 4.7UF 35V X5R 0603","TDK","C1608X5R1V475K080AC","Digi-Key","445-9064-1-ND"
"C2","1","CAP CER 22UF 10V X5R 0603","TDK","C1608X5R1A226M080AC","Digi-Key","445-9077-1-ND"
"C3, C5, C10, C14, C16","5","CAP CER 0.1UF 25V X7R 0402","TDK","C1005X7R1E104K050BB","Digi-Key","445-7348-1-ND"
"C4","1","CAP CER 0.1UF 25V X7R 0603","TDK","C1608X7R1E104K080AA","Digi-Key","445-1316-1-ND"
"C6","1","CAP CER 1000PF 50V X7R 0603","TDK","C1608X7R1H102K080AE","Digi-Key","445-15923-1-ND"
"C7","1","CAP CER 10000PF 50V X7R 0603","TDK","C1608X7R1H103K080AA","Digi-Key","445-1311-1-ND"
"C8, C9","2","CAP CER 47PF 50V C0G 0603","TDK","C1608C0G1H470J080AA","Digi-Key","445-1277-1-ND"
"C11, C12","2","CAP CER 18PF 50V C0G 0603","TDK","CGJ3E2C0G1H180J080AA","Digi-Key","445-13325-1-ND"
"C13","1","CAP CER 0.47UF 10V X5R 0402","TDK","C1005X5R1A474K050BB","Digi-Key","445-4989-1-ND"
"C15","1","CAP CER 10UF 10V JB 0603","TDK","C1608JB1A106K080AC","Digi-Key","445-11201-1-ND"
"C17","1","CAP CER 4.7UF 10V X5R 0402","TDK","C1005X5R1A475K050BC","Digi-Key","445-13820-1-ND"
"D1, D2","2","LED SMARTLED GREEN 570NM 0603","OSRAM Opto Semiconductors","LG L29K-G2J1-24-Z","Digi-Key","475-2709-1-ND"
"D3, D4, D5, D6, D7, D8, D9, D10, D11, D12","10","LED SMARTLED RED 630NM 0603 SMD","OSRAM Opto Semiconductors","LS L29K-H1J2-1-Z","Digi-Key","475-1195-1-ND"
"J1","1","CONNECTOR MICRO USB B RECPT BTTM MOUNT ASSY","Molex","47346-0001","Mouser","538-47346-0001"
"J2","1","IDC BOX HEADER 0.050 10 POS","CNC Tech","3220-10-0300-00","Digi-Key","1175-1629-ND"
